Dataset,SampleSize,Target1Ratio_Set,Target0Count,Target1Count,Target1Ratio_Actual,QualityScore,DiagnosticScore
1,3000,0.03,2910,90,0.03,0.7687895185742504,1.0
2,3000,0.03,2910,90,0.03,0.7711172844605266,1.0
3,3000,0.03,2910,90,0.03,0.7716078260391486,1.0
4,3000,0.03,2910,90,0.03,0.7709902722724211,1.0
5,3000,0.03,2910,90,0.03,0.7709500233935167,1.0
6,3000,0.03,2910,90,0.03,0.7638494946932055,1.0
7,3000,0.03,2910,90,0.03,0.7697007801484302,1.0
8,3000,0.03,2910,90,0.03,0.7734901459038219,1.0
9,3000,0.03,2910,90,0.03,0.7723361078884485,1.0
10,3000,0.03,2910,90,0.03,0.7703579318398728,1.0
11,3000,0.03,2910,90,0.03,0.7696263511556309,1.0
12,3000,0.03,2910,90,0.03,0.7693728353395886,1.0
13,3000,0.03,2910,90,0.03,0.7714405011256835,1.0
14,3000,0.03,2910,90,0.03,0.7705793478125307,1.0
15,3000,0.03,2910,90,0.03,0.7715574991515568,1.0
16,3000,0.03,2910,90,0.03,0.7729906966211089,1.0
17,3000,0.03,2910,90,0.03,0.7716965834669968,1.0
18,3000,0.03,2910,90,0.03,0.7701101049293688,1.0
19,3000,0.03,2910,90,0.03,0.7707182071816043,1.0
20,3000,0.03,2910,90,0.03,0.7712466247612861,1.0
21,3000,0.03,2910,90,0.03,0.7686065015102892,1.0
22,3000,0.03,2910,90,0.03,0.7697741312814568,1.0
23,3000,0.03,2910,90,0.03,0.7705603074982077,1.0
24,3000,0.03,2910,90,0.03,0.7688957251292541,1.0
25,3000,0.03,2910,90,0.03,0.7711588179614735,1.0
26,3000,0.03,2910,90,0.03,0.7675996991747431,1.0
27,3000,0.03,2910,90,0.03,0.7704448817182299,1.0
28,3000,0.03,2910,90,0.03,0.7724764221200426,1.0
29,3000,0.03,2910,90,0.03,0.771365249708069,1.0
30,3000,0.03,2910,90,0.03,0.7727200451201364,1.0
31,3000,0.03,2910,90,0.03,0.771247507792546,1.0
32,3000,0.03,2910,90,0.03,0.7748512864977863,1.0
33,3000,0.03,2910,90,0.03,0.7727011780658691,1.0
