Dataset,SampleSize,Target1Ratio_Set,Target0Count,Target1Count,Target1Ratio_Actual,QualityScore,DiagnosticScore
1,8000,0.03,7760,240,0.03,0.7727226726479879,1.0
2,8000,0.03,7760,240,0.03,0.7731358098567386,1.0
3,8000,0.03,7760,240,0.03,0.7706132032635489,1.0
4,8000,0.03,7760,240,0.03,0.7719753728122958,1.0
5,8000,0.03,7760,240,0.03,0.7720857205540483,1.0
6,8000,0.03,7760,240,0.03,0.7715581143943233,1.0
7,8000,0.03,7760,240,0.03,0.7720566902427421,1.0
8,8000,0.03,7760,240,0.03,0.7712875314791952,1.0
9,8000,0.03,7760,240,0.03,0.7739029281930461,1.0
10,8000,0.03,7760,240,0.03,0.7724351335475804,1.0
11,8000,0.03,7760,240,0.03,0.7725198629366796,1.0
12,8000,0.03,7760,240,0.03,0.7727635448951602,1.0
13,8000,0.03,7760,240,0.03,0.7721092859510852,1.0
14,8000,0.03,7760,240,0.03,0.7721846227826156,1.0
15,8000,0.03,7760,240,0.03,0.7706614959608662,1.0
16,8000,0.03,7760,240,0.03,0.7719437917925305,1.0
17,8000,0.03,7760,240,0.03,0.7700274511170139,1.0
18,8000,0.03,7760,240,0.03,0.7731961797033042,1.0
19,8000,0.03,7760,240,0.03,0.7727150606048634,1.0
20,8000,0.03,7760,240,0.03,0.771235593843637,1.0
21,8000,0.03,7760,240,0.03,0.7715264174289815,1.0
22,8000,0.03,7760,240,0.03,0.7733102172895547,1.0
23,8000,0.03,7760,240,0.03,0.7725576923359692,1.0
24,8000,0.03,7760,240,0.03,0.7730433548329765,1.0
25,8000,0.03,7760,240,0.03,0.7704831887732534,1.0
26,8000,0.03,7760,240,0.03,0.7720532146628327,1.0
27,8000,0.03,7760,240,0.03,0.7723160626236596,1.0
28,8000,0.03,7760,240,0.03,0.7709576554119482,1.0
29,8000,0.03,7760,240,0.03,0.7741715478817717,1.0
30,8000,0.03,7760,240,0.03,0.7716490653791341,1.0
31,8000,0.03,7760,240,0.03,0.770979620030284,1.0
32,8000,0.03,7760,240,0.03,0.7714775221876065,1.0
33,8000,0.03,7760,240,0.03,0.7713875638086948,1.0
34,8000,0.03,7760,240,0.03,0.7726821388172073,1.0
35,8000,0.03,7760,240,0.03,0.7717527241393457,1.0
36,8000,0.03,7760,240,0.03,0.7753843413392955,1.0
37,8000,0.03,7760,240,0.03,0.7723166665538934,1.0
38,8000,0.03,7760,240,0.03,0.7737826280817557,1.0
39,8000,0.03,7760,240,0.03,0.7721891527148588,1.0
40,8000,0.03,7760,240,0.03,0.7743384787752572,1.0
41,8000,0.03,7760,240,0.03,0.7726158761434367,1.0
42,8000,0.03,7760,240,0.03,0.7742007781900471,1.0
43,8000,0.03,7760,240,0.03,0.7718336286059677,1.0
44,8000,0.03,7760,240,0.03,0.7733140988889137,1.0
45,8000,0.03,7760,240,0.03,0.7730815668183841,1.0
46,8000,0.03,7760,240,0.03,0.7723464974748473,1.0
47,8000,0.03,7760,240,0.03,0.7734391449059537,1.0
48,8000,0.03,7760,240,0.03,0.7699536772301827,1.0
49,8000,0.03,7760,240,0.03,0.7715752209028848,1.0
50,8000,0.03,7760,240,0.03,0.7712934799301903,1.0
51,8000,0.03,7760,240,0.03,0.7704285999830611,1.0
52,8000,0.03,7760,240,0.03,0.7713111899123439,1.0
53,8000,0.03,7760,240,0.03,0.7730477076262776,1.0
54,8000,0.03,7760,240,0.03,0.7730572410742498,1.0
55,8000,0.03,7760,240,0.03,0.7691429418516673,1.0
56,8000,0.03,7760,240,0.03,0.7720511966979993,1.0
57,8000,0.03,7760,240,0.03,0.7740231386742416,1.0
58,8000,0.03,7760,240,0.03,0.7725864625559437,1.0
59,8000,0.03,7760,240,0.03,0.7708928387340604,1.0
60,8000,0.03,7760,240,0.03,0.7723154194051921,1.0
61,8000,0.03,7760,240,0.03,0.7748771159146249,1.0
62,8000,0.03,7760,240,0.03,0.7735472138053663,1.0
63,8000,0.03,7760,240,0.03,0.7721137679755519,1.0
64,8000,0.03,7760,240,0.03,0.7737935503930813,1.0
65,8000,0.03,7760,240,0.03,0.771673699950966,1.0
