Dataset,SampleSize,Target1Ratio_Set,Target0Count,Target1Count,Target1Ratio_Actual,QualityScore,DiagnosticScore
1,5000,0.05,4750,250,0.05,0.7744422950667899,1.0
2,5000,0.05,4750,250,0.05,0.7761127781327688,1.0
3,5000,0.05,4750,250,0.05,0.7753434303621916,1.0
4,5000,0.05,4750,250,0.05,0.7770160366970762,1.0
5,5000,0.05,4750,250,0.05,0.7787682924187574,1.0
6,5000,0.05,4750,250,0.05,0.7774095414586123,1.0
7,5000,0.05,4750,250,0.05,0.7767887177928162,1.0
8,5000,0.05,4750,250,0.05,0.7784566696288544,1.0
9,5000,0.05,4750,250,0.05,0.7768576707609571,1.0
10,5000,0.05,4750,250,0.05,0.7771307237717149,1.0
11,5000,0.05,4750,250,0.05,0.7733082715054773,1.0
12,5000,0.05,4750,250,0.05,0.7759651435360564,1.0
13,5000,0.05,4750,250,0.05,0.7766453392227104,1.0
14,5000,0.05,4750,250,0.05,0.7781181046371166,1.0
15,5000,0.05,4750,250,0.05,0.7760092538312966,1.0
16,5000,0.05,4750,250,0.05,0.7769453547985986,1.0
17,5000,0.05,4750,250,0.05,0.7777175647486778,1.0
18,5000,0.05,4750,250,0.05,0.7768408100317699,1.0
19,5000,0.05,4750,250,0.05,0.776856420701801,1.0
20,5000,0.05,4750,250,0.05,0.776749201930819,1.0
21,5000,0.05,4750,250,0.05,0.7769961541785588,1.0
22,5000,0.05,4750,250,0.05,0.7768918823312642,1.0
23,5000,0.05,4750,250,0.05,0.7765066022565248,1.0
24,5000,0.05,4750,250,0.05,0.7764307597209372,1.0
25,5000,0.05,4750,250,0.05,0.777661914137618,1.0
26,5000,0.05,4750,250,0.05,0.7774310776260128,1.0
27,5000,0.05,4750,250,0.05,0.7772752581901106,1.0
28,5000,0.05,4750,250,0.05,0.7769395745332566,1.0
29,5000,0.05,4750,250,0.05,0.7790213796548866,1.0
30,5000,0.05,4750,250,0.05,0.775652728570201,1.0
31,5000,0.05,4750,250,0.05,0.7741922357570156,1.0
32,5000,0.05,4750,250,0.05,0.7769646337217188,1.0
33,5000,0.05,4750,250,0.05,0.7790957902715181,1.0
34,5000,0.05,4750,250,0.05,0.7773237634387827,1.0
35,5000,0.05,4750,250,0.05,0.7729288439714044,1.0
36,5000,0.05,4750,250,0.05,0.7769217836041853,1.0
37,5000,0.05,4750,250,0.05,0.77771996167701,1.0
38,5000,0.05,4750,250,0.05,0.7749673850693337,1.0
39,5000,0.05,4750,250,0.05,0.7739004401080742,1.0
40,5000,0.05,4750,250,0.05,0.7780031547255122,1.0
41,5000,0.05,4750,250,0.05,0.7769913405647659,1.0
42,5000,0.05,4750,250,0.05,0.7775443921218392,1.0
43,5000,0.05,4750,250,0.05,0.7745646598447373,1.0
44,5000,0.05,4750,250,0.05,0.7757832049668454,1.0
45,5000,0.05,4750,250,0.05,0.7751690431463656,1.0
46,5000,0.05,4750,250,0.05,0.7771974712149647,1.0
47,5000,0.05,4750,250,0.05,0.7786649066157757,1.0
48,5000,0.05,4750,250,0.05,0.7763145698897682,1.0
49,5000,0.05,4750,250,0.05,0.7763891656871094,1.0
50,5000,0.05,4750,250,0.05,0.7761277083277842,1.0
51,5000,0.05,4750,250,0.05,0.7773394075159756,1.0
52,5000,0.05,4750,250,0.05,0.7762418089213398,1.0
53,5000,0.05,4750,250,0.05,0.7770221618120488,1.0
54,5000,0.05,4750,250,0.05,0.7758185586657711,1.0
55,5000,0.05,4750,250,0.05,0.7769833197180166,1.0
56,5000,0.05,4750,250,0.05,0.7782566117183033,1.0
57,5000,0.05,4750,250,0.05,0.7782383678761524,1.0
58,5000,0.05,4750,250,0.05,0.7761402617726847,1.0
59,5000,0.05,4750,250,0.05,0.7758159313693356,1.0
60,5000,0.05,4750,250,0.05,0.7779107017430783,1.0
61,5000,0.05,4750,250,0.05,0.7761455327922485,1.0
62,5000,0.05,4750,250,0.05,0.7771642060390452,1.0
63,5000,0.05,4750,250,0.05,0.777593179443964,1.0
64,5000,0.05,4750,250,0.05,0.7770887795209018,1.0
65,5000,0.05,4750,250,0.05,0.7769159172279614,1.0
66,5000,0.05,4750,250,0.05,0.7773721912631038,1.0
67,5000,0.05,4750,250,0.05,0.7764805007694227,1.0
68,5000,0.05,4750,250,0.05,0.7751789254789541,1.0
69,5000,0.05,4750,250,0.05,0.7774690528252776,1.0
70,5000,0.05,4750,250,0.05,0.7746473556980482,1.0
71,5000,0.05,4750,250,0.05,0.7772200081008123,1.0
72,5000,0.05,4750,250,0.05,0.776815417769073,1.0
73,5000,0.05,4750,250,0.05,0.7765345169545981,1.0
74,5000,0.05,4750,250,0.05,0.7744932546250731,1.0
75,5000,0.05,4750,250,0.05,0.7761833425808886,1.0
76,5000,0.05,4750,250,0.05,0.7755579449621354,1.0
77,5000,0.05,4750,250,0.05,0.7778634039756647,1.0
78,5000,0.05,4750,250,0.05,0.7750737714640552,1.0
79,5000,0.05,4750,250,0.05,0.775668058976853,1.0
80,5000,0.05,4750,250,0.05,0.7775721042281942,1.0
81,5000,0.05,4750,250,0.05,0.7767427395319024,1.0
82,5000,0.05,4750,250,0.05,0.7794278015552836,1.0
83,5000,0.05,4750,250,0.05,0.7741737781375913,1.0
84,5000,0.05,4750,250,0.05,0.7766921995929983,1.0
85,5000,0.05,4750,250,0.05,0.776828453147703,1.0
86,5000,0.05,4750,250,0.05,0.7786249224171169,1.0
87,5000,0.05,4750,250,0.05,0.7782995510624946,1.0
88,5000,0.05,4750,250,0.05,0.7775906154216475,1.0
89,5000,0.05,4750,250,0.05,0.7775089321441087,1.0
90,5000,0.05,4750,250,0.05,0.7764233119938482,1.0
91,5000,0.05,4750,250,0.05,0.7783155757431216,1.0
92,5000,0.05,4750,250,0.05,0.7759959273541651,1.0
93,5000,0.05,4750,250,0.05,0.7760394432233351,1.0
94,5000,0.05,4750,250,0.05,0.7762915282871208,1.0
95,5000,0.05,4750,250,0.05,0.7754886488322077,1.0
96,5000,0.05,4750,250,0.05,0.7765486193294416,1.0
97,5000,0.05,4750,250,0.05,0.7756467446182824,1.0
98,5000,0.05,4750,250,0.05,0.776837949816136,1.0
99,5000,0.05,4750,250,0.05,0.7801880445571745,1.0
100,5000,0.05,4750,250,0.05,0.775859606289873,1.0
