Dataset,SampleSize,Target1Ratio_Set,Target0Count,Target1Count,Target1Ratio_Actual,QualityScore,DiagnosticScore
1,5000,0.03,4850,150,0.03,0.7713993672039405,1.0
2,5000,0.03,4850,150,0.03,0.772131023459022,1.0
3,5000,0.03,4850,150,0.03,0.7712080516928692,1.0
4,5000,0.03,4850,150,0.03,0.7722530566851222,1.0
5,5000,0.03,4850,150,0.03,0.7710381333225867,1.0
6,5000,0.03,4850,150,0.03,0.7737278417707385,1.0
7,5000,0.03,4850,150,0.03,0.7718437927841809,1.0
8,5000,0.03,4850,150,0.03,0.7720064656658592,1.0
9,5000,0.03,4850,150,0.03,0.7692999616802516,1.0
10,5000,0.03,4850,150,0.03,0.7758943363134638,1.0
11,5000,0.03,4850,150,0.03,0.7700459541011792,1.0
12,5000,0.03,4850,150,0.03,0.7707559275154616,1.0
13,5000,0.03,4850,150,0.03,0.7726514641338473,1.0
14,5000,0.03,4850,150,0.03,0.7722623542634095,1.0
15,5000,0.03,4850,150,0.03,0.7712199341756825,1.0
16,5000,0.03,4850,150,0.03,0.7733563859118848,1.0
17,5000,0.03,4850,150,0.03,0.7747257434260217,1.0
18,5000,0.03,4850,150,0.03,0.7713855439918644,1.0
19,5000,0.03,4850,150,0.03,0.7722544978484236,1.0
20,5000,0.03,4850,150,0.03,0.7710071304080408,1.0
21,5000,0.03,4850,150,0.03,0.7722048900377025,1.0
22,5000,0.03,4850,150,0.03,0.7701043375775614,1.0
23,5000,0.03,4850,150,0.03,0.771175253903959,1.0
24,5000,0.03,4850,150,0.03,0.7723038845978465,1.0
25,5000,0.03,4850,150,0.03,0.7729992322031367,1.0
26,5000,0.03,4850,150,0.03,0.7709323650723917,1.0
27,5000,0.03,4850,150,0.03,0.771837546505109,1.0
28,5000,0.03,4850,150,0.03,0.7708399953070116,1.0
29,5000,0.03,4850,150,0.03,0.7741035635474982,1.0
30,5000,0.03,4850,150,0.03,0.7718477313221985,1.0
31,5000,0.03,4850,150,0.03,0.7711450900595234,1.0
32,5000,0.03,4850,150,0.03,0.7731220249941302,1.0
33,5000,0.03,4850,150,0.03,0.7731966401890721,1.0
34,5000,0.03,4850,150,0.03,0.7731439047509345,1.0
35,5000,0.03,4850,150,0.03,0.7704172788984958,1.0
36,5000,0.03,4850,150,0.03,0.771010795124552,1.0
37,5000,0.03,4850,150,0.03,0.7729463181735095,1.0
38,5000,0.03,4850,150,0.03,0.7710540982824045,1.0
39,5000,0.03,4850,150,0.03,0.7747452719276267,1.0
40,5000,0.03,4850,150,0.03,0.7682986355641594,1.0
41,5000,0.03,4850,150,0.03,0.7712369151585419,1.0
42,5000,0.03,4850,150,0.03,0.7739424547642384,1.0
43,5000,0.03,4850,150,0.03,0.7711809889094121,1.0
44,5000,0.03,4850,150,0.03,0.7726435542030373,1.0
45,5000,0.03,4850,150,0.03,0.7697950129223319,1.0
46,5000,0.03,4850,150,0.03,0.7721997104125549,1.0
47,5000,0.03,4850,150,0.03,0.7712761644281224,1.0
48,5000,0.03,4850,150,0.03,0.7723157479047528,1.0
49,5000,0.03,4850,150,0.03,0.7724012845875385,1.0
